"date","conf","status1","s1"
"1986-12-31","","Normal value",900.82
"1987-01-31","","Normal value",877.8641
"1987-02-28","","Normal value",839.7895
"1987-03-31","","Normal value",856.6245
"1987-04-30","","Normal value",888.9836
"1987-05-31","","Normal value",872.0867
"1987-06-30","","Normal value",884.0691
"1987-07-31","","Normal value",930.3596
"1987-08-31","","Normal value",952.9005
"1987-09-30","","Normal value",932.2723
"1987-10-31","","Normal value",852.7268
"1987-11-30","","Normal value",672.9633
"1987-12-31","","Normal value",653.3696
"1988-01-31","","Normal value",646.5657
"1988-02-29","","Normal value",679.0167
"1988-03-31","","Normal value",716.6961
"1988-04-30","","Normal value",713.5448
"1988-05-31","","Normal value",696.4391
"1988-06-30","","Normal value",748.1391
"1988-07-31","","Normal value",773.7886
"1988-08-31","","Normal value",773.9157
"1988-09-30","","Normal value",787.2532
"1988-10-31","","Normal value",826.4876
"1988-11-30","","Normal value",828.4482
"1988-12-31","","Normal value",842.9536
"1989-01-31","","Normal value",883.0745
"1989-02-28","","Normal value",874.1225
"1989-03-31","","Normal value",874.3404
"1989-04-30","","Normal value",901.6255
"1989-05-31","","Normal value",902.4474
"1989-06-30","","Normal value",946.9964
"1989-07-31","","Normal value",978.7657
"1989-08-31","","Normal value",1021.5109
"1989-09-30","","Normal value",1048.3148
"1989-10-31","","Normal value",1008.3255
"1989-11-30","","Normal value",982.9841
"1989-12-31","","Normal value",1054.7957
"1990-01-31","","Normal value",1085.3565
"1990-02-28","","Normal value",1072.5385
"1990-03-31","","Normal value",1092.6523
"1990-04-30","","Normal value",1115.8881
"1990-05-31","","Normal value",1110.4191
"1990-06-30","","Normal value",1107.331
"1990-07-31","","Normal value",1120.0541
"1990-08-31","","Normal value",992.5235
"1990-09-30","","Normal value",913.04
"1990-10-31","","Normal value",892.4457
"1990-11-30","","Normal value",874.4068
"1990-12-31","","Normal value",887.4757
"1991-01-31","","Normal value",850.447
"1991-02-28","","Normal value",925.197
"1991-03-31","","Normal value",973.7429
"1991-04-30","","Normal value",1000.9218
"1991-05-31","","Normal value",1018.5626
"1991-06-30","","Normal value",1034.729
"1991-07-31","","Normal value",999.4483
"1991-08-31","","Normal value",1001.5645
"1991-09-30","","Normal value",1011.491
"1991-10-31","","Normal value",998.4839
"1991-11-30","","Normal value",1000.2648
"1991-12-31","","Normal value",976.9277
"1992-01-31","","Normal value",1032.6209
"1992-02-29","","Normal value",1060.3905
"1992-03-31","","Normal value",1070.9582
"1992-04-30","","Normal value",1071.5636
"1992-05-31","","Normal value",1092.7148
"1992-06-30","","Normal value",1076.7914
"1992-07-31","","Normal value",1022.8009
"1992-08-31","","Normal value",962.7657
"1992-09-30","","Normal value",984.1318
"1992-10-31","","Normal value",962.1082
"1992-11-30","","Normal value",997.649
"1992-12-31","","Normal value",1010.033
"1993-01-31","","Normal value",1035.8
"1993-02-28","","Normal value",1097.522
"1993-03-31","","Normal value",1136.2539
"1993-04-30","","Normal value",1127.5405
"1993-05-31","","Normal value",1110.7486
"1993-06-30","","Normal value",1135.955
"1993-07-31","","Normal value",1185.1791
"1993-08-31","","Normal value",1276.8645
"1993-09-30","","Normal value",1279.5791
"1993-10-31","","Normal value",1333.0338
"1993-11-30","","Normal value",1330.5764
"1993-12-31","","Normal value",1393.6917
"1994-01-31","","Normal value",1423.2105
"1994-02-28","","Normal value",1424.005
"1994-03-31","","Normal value",1387.0704
"1994-04-30","","Normal value",1409.0143
"1994-05-31","","Normal value",1413.6964
"1994-06-30","","Normal value",1324.9873
"1994-07-31","","Normal value",1328.1029
"1994-08-31","","Normal value",1374.303
"1994-09-30","","Normal value",1341.7732
"1994-10-31","","Normal value",1300.929
"1994-11-30","","Normal value",1320.9995
"1994-12-31","","Normal value",1319.0968
"1995-01-31","","Normal value",1306.8732
"1995-02-28","","Normal value",1328.846
